name,activity
Hamina,Vain suppeampaa
Hanko,Vain suppeampaa
Imatra,Vain suppeampaa
Isokyrö,Vain suppeampaa
Jyväskylä,Vain suppeampaa
Kurikka,Vain suppeampaa
Lapinjärvi,Vain suppeampaa
Lappeenranta,Vain suppeampaa
Lapua,Vain suppeampaa
Laukaa,Vain suppeampaa
Loviisa,Vain suppeampaa
Mynämäki,Vain suppeampaa
Myrskylä,Vain suppeampaa
Mäntsälä,Vain suppeampaa
Oulu,Kotimaisten kielten kielikylpyä ja suppeampaa
Parainen,Vain suppeampaa
Pielavesi,Vain suppeampaa
Pyhtää,Vain suppeampaa
Ristijärvi,Vain suppeampaa
Salo,Vain suppeampaa
Sastamala,Vain suppeampaa
Uusikaarlepyy,Vain suppeampaa
Vehmaa,Vain suppeampaa
Ylitornio,Vain suppeampaa
Enontekiö,Vain muuta laajamittaista
Kotka,Vain muuta laajamittaista
Kristiinankaupunki,Vain muuta laajamittaista
Seinäjoki,Vain muuta laajamittaista
Varkaus,Vain muuta laajamittaista
Vihti,Vain muuta laajamittaista
Pori,Vain muuta laajamittaista
Tampere,Muuta laajamittaista ja suppeampaa
Kuopio,Muuta laajamittaista ja suppeampaa
Raisio,Muuta laajamittaista ja suppeampaa
Järvenpää,Vain kotimaisten kielten kielikylpyä
Kauniainen,Vain kotimaisten kielten kielikylpyä
Muonio,Vain kotimaisten kielten kielikylpyä
Pietarsaari,Vain kotimaisten kielten kielikylpyä
Sipoo,Vain kotimaisten kielten kielikylpyä
Hyvinkää,Vain kotimaisten kielten kielikylpyä
Inari,Vain kotimaisten kielten kielikylpyä
Kerava,Vain kotimaisten kielten kielikylpyä
Raasepori,Vain kotimaisten kielten kielikylpyä
Porvoo,Vain kotimaisten kielten kielikylpyä
Sodankylä,Vain kotimaisten kielten kielikylpyä
Helsinki,Kotimaisten kielten kielikylpyä ja suppeampaa
Kaskinen,Kotimaisten kielten kielikylpyä ja suppeampaa
Kirkkonummi,Kotimaisten kielten kielikylpyä ja suppeampaa
Hämeenlinna,Kotimaisten kielten kielikylpyä ja suppeampaa
Lahti,Kotimaisten kielten kielikylpyä ja muuta laajamittaista
Utsjoki,Kotimaisten kielten kielikylpyä ja muuta laajamittaista
Espoo,Kaikkia kolmea
Kokkola,Kaikkia kolmea
Turku,Kaikkia kolmea
Vaasa,Kaikkia kolmea
Vantaa,Kaikkia kolmea
