"name","activity"
"Espoo","Kotimaisten kielten kielikylpyä"
"Helsinki","Kotimaisten kielten kielikylpyä"
"Järvenpää","Kotimaisten kielten kielikylpyä"
"Kaskinen","Kotimaisten kielten kielikylpyä"
"Kauniainen","Kotimaisten kielten kielikylpyä"
"Kirkkonummi","Kotimaisten kielten kielikylpyä"
"Kokkola","Kotimaisten kielten kielikylpyä"
"Lahti","Kotimaisten kielten kielikylpyä"
"Muonio","Kotimaisten kielten kielikylpyä"
"Pietarsaari","Kotimaisten kielten kielikylpyä"
"Sipoo","Kotimaisten kielten kielikylpyä"
"Turku","Kotimaisten kielten kielikylpyä"
"Utsjoki","Kotimaisten kielten kielikylpyä"
"Vaasa","Kotimaisten kielten kielikylpyä"
"Vantaa","Kotimaisten kielten kielikylpyä"
"Espoo Esbo","Muuta laajamittaista"
"Kokkola","Muuta laajamittaista"
"Tampere","Muuta laajamittaista"
"Turku","Muuta laajamittaista"
"Vaasa","Muuta laajamittaista"
"Vantaa","Muuta laajamittaista"
"Enontekiö","Muuta laajamittaista"
"Kotka","Muuta laajamittaista"
"Kristiinankaupunki","Muuta laajamittaista"
"Lahti","Muuta laajamittaista"
"Seinäjoki","Muuta laajamittaista"
"Utsjoki","Muuta laajamittaista"
"Varkaus","Muuta laajamittaista"
"Vihti","Muuta laajamittaista"
"Espoo Esbo","Suppeampaa"
"Kokkola","Suppeampaa"
"Tampere","Suppeampaa"
"Turku","Suppeampaa"
"Vaasa","Suppeampaa"
"Vantaa","Suppeampaa"
"Hamina","Suppeampaa"
"Hanko","Suppeampaa"
"Helsinki","Suppeampaa"
"Imatra","Suppeampaa"
"Isokyrö","Suppeampaa"
"Jyväskylä","Suppeampaa"
"Kaskinen","Suppeampaa"
"Kirkkonummi","Suppeampaa"
"Kurikka","Suppeampaa"
"Lapinjärvi","Suppeampaa"
"Lappeenranta","Suppeampaa"
"Lapua","Suppeampaa"
"Laukaa","Suppeampaa"
"Loviisa","Suppeampaa"
"Mynämäki","Suppeampaa"
"Myrskylä","Suppeampaa"
"Mäntsälä","Suppeampaa"
"Oulu","Suppeampaa"
"Parainen","Suppeampaa"
"Pielavesi","Suppeampaa"
"Pyhtää","Suppeampaa"
"Ristijärvi","Suppeampaa"
"Salo","Suppeampaa"
"Sastamala","Suppeampaa"
"Uusikaarlepyy","Suppeampaa"
"Vehmaa","Suppeampaa"
"Ylitornio","Suppeampaa"
